R1, JD1, {"overall\_match\_percentage": "56%", "score\_breakdown": {"role\_alignment": {"score": "70%"}, "skills\_match": {"score": "40%"}, "experience\_match": {"score": "90%"}, "project\_relevance": {"score": "30%"}, "education\_match": {"score": "0%"}}}
R1, JD2, {"overall\_match\_percentage": "88%", "score\_breakdown": {"role\_alignment": {"score": "100%"}, "skills\_match": {"score": "70%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "80%"}, "education\_match": {"score": "100%"}}}
R1, JD3, {"overall\_match\_percentage": "55%", "score\_breakdown": {"role\_alignment": {"score": "50%"}, "skills\_match": {"score": "30%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "40%"}, "education\_match": {"score": "100%"}}}
R1, JD4, {"overall\_match\_percentage": "83%", "score\_breakdown": {"role\_alignment": {"score": "100%"}, "skills\_match": {"score": "70%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "30%"}, "education\_match": {"score": "100%"}}}
R1, JD5, {"overall\_match\_percentage": "77%", "score\_breakdown": {"role\_alignment": {"score": "70%"}, "skills\_match": {"score": "80%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "80%"}, "education\_match": {"score": "0%"}}}
R1, JD6, {"overall\_match\_percentage": "5%",  "score\_breakdown": {"role\_alignment": {"score": "0%"},  "skills\_match": {"score": "0%"},  "experience\_match": {"score": "0%"},  "project\_relevance": {"score": "0%"},  "education\_match": {"score": "100%"}}}
R1, JD7, {"overall\_match\_percentage": "5%",  "score\_breakdown": {"role\_alignment": {"score": "0%"},  "skills\_match": {"score": "0%"},  "experience\_match": {"score": "0%"},  "project\_relevance": {"score": "0%"},  "education\_match": {"score": "100%"}}}
R1, JD8, {"overall\_match\_percentage": "5%",  "score\_breakdown": {"role\_alignment": {"score": "0%"},  "skills\_match": {"score": "0%"},  "experience\_match": {"score": "0%"},  "project\_relevance": {"score": "0%"},  "education\_match": {"score": "100%"}}}
R1, JD9, {"overall\_match\_percentage": "5%",  "score\_breakdown": {"role\_alignment": {"score": "0%"},  "skills\_match": {"score": "0%"},  "experience\_match": {"score": "0%"},  "project\_relevance": {"score": "0%"},  "education\_match": {"score": "100%"}}}
R1, JD10, {"overall\_match\_percentage": "5%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R1, JD11, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R1, JD12, {"overall\_match\_percentage": "25%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R1, JD13, {"overall\_match\_percentage": "0%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "0%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R1, JD14, {"overall\_match\_percentage": "25%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R1, JD15, {"overall\_match\_percentage": "20%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R1, JD16, {"overall\_match\_percentage": "20%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R1, JD17, {"overall\_match\_percentage": "25%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R1, JD18, {"overall\_match\_percentage": "25%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R1, JD19, {"overall\_match\_percentage": "25%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R1, JD20, {"overall\_match\_percentage": "20%", "score\_breakdown": {"role\_alignment": {"score": "0%"}, "skills\_match": {"score": "0%"}, "experience\_match": {"score": "100%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R1, JD21, {"overall\_match\_percentage": "28%", "score\_breakdown": {"role\_alignment": {"score": "10%"}, "skills\_match": {"score": "20%"}, "experience\_match": {"score": "60%"}, "project\_relevance": {"score": "10%"}, "education\_match": {"score": "100%"}}}
R1, JD22, {"overall\_match\_percentage": "28%", "score\_breakdown": {"role\_alignment": {"score": "10%"}, "skills\_match": {"score": "20%"}, "experience\_match": {"score": "60%"}, "project\_relevance": {"score": "10%"}, "education\_match": {"score": "100%"}}}
R1, JD23, {"overall\_match\_percentage": "28%", "score\_breakdown": {"role\_alignment": {"score": "10%"}, "skills\_match": {"score": "20%"}, "experience\_match": {"score": "60%"}, "project\_relevance": {"score": "10%"}, "education\_match": {"score": "100%"}}}
R1, JD24, {"overall\_match\_percentage": "28%", "score\_breakdown": {"role\_alignment": {"score": "10%"}, "skills\_match": {"score": "20%"}, "experience\_match": {"score": "60%"}, "project\_relevance": {"score": "10%"}, "education\_match": {"score": "100%"}}}
R1, JD25, {"overall\_match\_percentage": "28%", "score\_breakdown": {"role\_alignment": {"score": "10%"}, "skills\_match": {"score": "20%"}, "experience\_match": {"score": "60%"}, "project\_relevance": {"score": "10%"}, "education\_match": {"score": "100%"}}}
R1, JD26, {"overall\_match\_percentage": "23%", "score\_breakdown": {"role\_alignment": {"score": "30%"}, "skills\_match": {"score": "10%"}, "experience\_match": {"score": "50%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "0%"}}}
R1, JD27, {"overall\_match\_percentage": "28%", "score\_breakdown": {"role\_alignment": {"score": "30%"}, "skills\_match": {"score": "10%"}, "experience\_match": {"score": "50%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R1, JD28, {"overall\_match\_percentage": "28%", "score\_breakdown": {"role\_alignment": {"score": "30%"}, "skills\_match": {"score": "10%"}, "experience\_match": {"score": "50%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
R1, JD29, {"overall\_match\_percentage": "25%", "score\_breakdown": {"role\_alignment": {"score": "20%"}, "skills\_match": {"score": "10%"}, "experience\_match": {"score": "50%"}, "project\_relevance": {"score": "0%"}, "education\_match": {"score": "100%"}}}
